,GDPg,GDPg_past_ma5
1,-0.3892264329345325,
2,0.16411609589943588,-0.3892264329345325
3,0.41731809953478693,-0.11255516851754832
4,-0.13283375034072908,0.06406925416656344
5,-0.0977484685350185,0.014843503039740302
6,0.25892925439347714,-0.007674891275211459
7,0.2359430842121233,0.12195624619039047
8,0.2601732518879374,0.13632164385292794
9,0.25481689934375185,0.10489267432355805
10,0.1727456909779923,0.18242280426045424
11,0.09977506172292827,0.23652163616305638
12,0.09681708052414084,0.20469079762894662
13,0.27749149057678624,0.17686559689135012
14,0.4084279516659548,0.1803292446291199
15,0.1146230004350346,0.2110514550935605
16,0.3726620888359653,0.19942691698496895
17,0.2857290917966313,0.25400432240757637
18,0.35180378438379356,0.29178672466207445
19,0.28813134825952824,0.3066491834234759
20,-0.023126598078438754,0.2825898627421906
21,0.11521192822049198,0.25503994303949595
22,0.07439004666633164,0.20354991091640126
23,0.11997997221918344,0.16128210189034134
24,0.11109656957261937,0.1149173394574193
25,0.03882427291575352,0.07951038372003753
26,0.1534216553467067,0.091900557918876
27,0.2662769499388036,0.09954250334411893
28,0.34906183253575573,0.13791988399861332
29,0.23716500242996919,0.18373625606192778
30,0.14757802913411666,0.20894994263339775
31,0.1668537026057988,0.23070069387707037
32,0.0752338582605725,0.2333871033288888
33,0.10446804022220668,0.19517848499324258
34,0.18069045957633212,0.14625972653053276
35,0.22209280505244622,0.13496481795980536
36,0.0769295937223673,0.14986777314347127
37,-0.0662356392480784,0.13188295136678496
38,-0.32720028784302024,0.10358905186505478
39,0.2978679000654787,0.017255386252009397
40,0.15811647132838735,0.040690874349838715
41,-0.049498592448861234,0.02789560760502694
42,0.14532427171702045,0.002609970370781234
43,0.12032121368649618,0.04492195256380101
44,0.12872607322720242,0.13442625286970428
45,0.17868187978693229,0.10059788750204904
46,0.12655778526282457,0.10471096919375802
47,0.11335713336245035,0.13992224473609519
48,-0.10683006285124641,0.13352881706518116
49,-0.09872438749594215,0.08809856175763264
50,0.21201302622406892,0.04260846961300373
